YEAR,Site,DATE,SU,REP,TRT,PLANT,PM
2020,Toppenish,5/13/2020,Leaf,I,3,9,0
2020,Toppenish,5/13/2020,Leaf,I,3,10,0
2020,Toppenish,5/13/2020,Leaf,II,3,1,1
2020,Toppenish,5/13/2020,Leaf,II,3,2,0
2020,Toppenish,5/13/2020,Leaf,II,3,3,0
2020,Toppenish,5/13/2020,Leaf,II,3,4,0
2020,Toppenish,5/13/2020,Leaf,II,3,5,0
2020,Toppenish,5/13/2020,Leaf,II,3,6,1
2020,Toppenish,5/13/2020,Leaf,II,3,7,0
2020,Toppenish,5/13/2020,Leaf,II,3,8,0
2020,Toppenish,5/13/2020,Leaf,II,3,9,0
2020,Toppenish,5/13/2020,Leaf,II,3,10,0
2020,Toppenish,5/13/2020,Leaf,III,3,1,0
2020,Toppenish,5/13/2020,Leaf,III,3,2,0
2020,Toppenish,5/13/2020,Leaf,III,3,3,0
2020,Toppenish,5/13/2020,Leaf,III,3,4,0
2020,Toppenish,5/13/2020,Leaf,III,3,5,0
2020,Toppenish,5/13/2020,Leaf,III,3,6,2
2020,Toppenish,5/13/2020,Leaf,III,3,7,0
2020,Toppenish,5/13/2020,Leaf,III,3,8,0
2020,Toppenish,5/13/2020,Leaf,III,3,9,0
2020,Toppenish,5/13/2020,Leaf,III,3,10,0
2020,Toppenish,5/13/2020,Leaf,IV,3,1,0
2020,Toppenish,5/13/2020,Leaf,IV,3,2,0
2020,Toppenish,5/13/2020,Leaf,IV,3,3,0
2020,Toppenish,5/13/2020,Leaf,IV,3,4,0
2020,Toppenish,5/13/2020,Leaf,IV,3,5,0
2020,Toppenish,5/13/2020,Leaf,IV,3,6,0
2020,Toppenish,5/13/2020,Leaf,IV,3,7,0
2020,Toppenish,5/13/2020,Leaf,IV,3,8,0
2020,Toppenish,5/13/2020,Leaf,IV,3,9,0
2020,Toppenish,5/13/2020,Leaf,IV,3,10,0
2020,Toppenish,5/13/2020,Leaf,V,3,1,0
2020,Toppenish,5/13/2020,Leaf,V,3,2,0
2020,Toppenish,5/13/2020,Leaf,V,3,3,0
2020,Toppenish,5/13/2020,Leaf,V,3,4,0
2020,Toppenish,5/13/2020,Leaf,V,3,5,0
2020,Toppenish,5/13/2020,Leaf,V,3,6,1
2020,Toppenish,5/13/2020,Leaf,V,3,7,0
2020,Toppenish,5/13/2020,Leaf,V,3,8,0
2020,Toppenish,5/13/2020,Leaf,V,3,9,0
2020,Toppenish,5/13/2020,Leaf,V,3,10,0
