 Year,State,Station,PMI,Sprays,Interval,MeanIndex,MedianIndex,Std
2021,WA,Moxee.SE,28C,9,8.7,64.7,80,36
2021,WA,Moxee.SE,28C_4C,7,11.1,40.1,40,36
2021,WA,Moxee.SE,28C_4C_4h,8,9.8,50.9,50,36
2022,WA,Moxee.SE,30C,7,11.1,30,0,40
2022,WA,Moxee.SE,28C,7,11.1,29.2,0,39
2022,WA,Moxee.SE,28C_4C,7,11.1,29.2,0,39
2022,WA,Moxee.SE,28C_4C_4h,7,11.1,29.2,0,39
2016,OR,Woodburn,30C,8,9.75,61.03,60,32.01
2016,OR,Woodburn,28C,8,9.75,55.51,50,29.79
2016,OR,Woodburn,28C_4C,8,9.75,50.9,50,33.04
2016,OR,Woodburn,28C_4C_4h,8,9.75,55.51,50,29.79
2017,OR,Woodburn,30C,8,9.75,46.92,40,37.01
2017,OR,Woodburn,28C,8,9.75,42.56,40,33.28
2017,OR,Woodburn,28C_4C,8,9.75,42.18,40,33.68
2017,OR,Woodburn,28C_4C_4h,8,9.75,42.56,40,33.28
2018,OR,Woodburn,30C,9,8.67,66.41,90,39.71
2018,OR,Woodburn,28C,9,8.67,66.03,90,39.49
2018,OR,Woodburn,28C_4C,9,8.67,61.67,85,42.19
2018,OR,Woodburn,28C_4C_4h,9,8.67,66.03,90,39.49
2019,OR,Woodburn,30C,9,8.67,68.85,85,35.75
2019,OR,Woodburn,28C,9,8.67,68.85,85,35.75
2019,OR,Woodburn,28C_4C,9,8.67,68.21,80,35.41
2019,OR,Woodburn,28C_4C_4h,9,8.67,68.21,80,35.41
2016,OR,Silverton,30C,9,8.67,52.56,50,34.88
2016,OR,Silverton,28C,8,9.75,47.05,40,35.97
2016,OR,Silverton,28C_4C,8,9.75,47.05,40,35.97
2016,OR,Silverton,28C_4C_4h,8,9.75,47.05,40,35.97
2017,OR,Silverton,30C,8,9.75,47.05,50,36.29
2017,OR,Silverton,28C,8,9.75,41.79,45,31.98
2017,OR,Silverton,28C_4C,8,9.75,41.79,45,31.98
2017,OR,Silverton,28C_4C_4h,8,9.75,41.79,45,31.98
2018,OR,Silverton,30C,10,7.8,74.49,100,36.99
2018,OR,Silverton,28C,10,7.8,74.1,100,36.84
2018,OR,Silverton,28C_4C,10,7.8,72.56,100,39.16
2018,OR,Silverton,28C_4C_4h,10,7.8,74.1,100,36.84
2019,OR,Silverton,30C,8,9.75,64.23,80,38.16
2019,OR,Silverton,28C,8,9.75,62.18,80,38.33
2019,OR,Silverton,28C_4C,8,9.75,55.64,60,38.09
2019,OR,Silverton,28C_4C_4h,8,9.75,60.38,75,38.09
2020,OR,Silverton,30C,8,9.75,54.49,50,32.38
2020,OR,Silverton,28C,8,9.75,48.85,50,32.91
2020,OR,Silverton,28C_4C,8,9.75,36.92,30,36.05
2020,OR,Silverton,28C_4C_4h,8,9.75,37.31,30,35.74
2021,OR,Silverton,30C,8,9.75,62.95,70,28.61
2021,OR,Silverton,28C,8,9.75,62.95,70,28.61
2021,OR,Silverton,28C_4C,8,9.75,54.1,60,27.13
2021,OR,Silverton,28C_4C_4h,8,9.75,54.1,60,27.13
2022,OR,Silverton,30C,8,9.75,40.51,45,39.11
2022,OR,Silverton,28C,8,9.75,38.85,30,38.1
2022,OR,Silverton,28C_4C,8,9.75,38.46,30,38.41
2022,OR,Silverton,28C_4C_4h,8,9.75,38.46,30,38.41
2016,OR,Corvallis,30C,9,8.67,66.15,80,35.39
2016,OR,Corvallis,28C,9,8.67,57.56,65,34.98
2016,OR,Corvallis,28C_4C,9,8.67,56.79,65,35.98
2016,OR,Corvallis,28C_4C_4h,9,8.67,56.79,65,35.98
2017,OR,Corvallis,30C,9,8.67,53.08,60,41.32
2017,OR,Corvallis,28C,9,8.67,50.13,50,39.89
2017,OR,Corvallis,28C_4C,9,8.67,48.21,50,41.02
2017,OR,Corvallis,28C_4C_4h,9,8.67,50.13,50,39.89
2018,OR,Corvallis,30C,9,8.67,71.54,95,36.75
2018,OR,Corvallis,28C,9,8.67,71.15,90,36.57
2018,OR,Corvallis,28C_4C,9,8.67,67.18,90,38.84
2018,OR,Corvallis,28C_4C_4h,9,8.67,70.77,90,37.23
2019,OR,Corvallis,30C,9,8.67,70.9,90,37.25
2019,OR,Corvallis,28C,9,8.67,70.9,90,37.25
2019,OR,Corvallis,28C_4C,9,8.67,69.87,90,36.73
2019,OR,Corvallis,28C_4C_4h,9,8.67,70.64,90,37.11
2020,OR,Corvallis,30C,10,7.8,81.92,90,19.81
2020,OR,Corvallis,28C,10,7.8,81.03,90,19.58
2020,OR,Corvallis,28C_4C,9,8.67,59.49,70,36.96
2020,OR,Corvallis,28C_4C_4h,9,8.67,73.59,80,22.79
2021,OR,Corvallis,30C,9,8.67,73.33,80,22.72
2021,OR,Corvallis,28C,9,8.67,67.44,70,24.83
2021,OR,Corvallis,28C_4C,8,9.75,58.21,60,24.05
2021,OR,Corvallis,28C_4C_4h,9,8.67,64.1,70,25.15
2022,OR,Corvallis,30C,8,9.75,43.08,45,41.6
2022,OR,Corvallis,28C,8,9.75,41.54,40,40.55
2022,OR,Corvallis,28C_4C,8,9.75,41.15,40,40.87
2022,OR,Corvallis,28C_4C_4h,8,9.75,41.54,40,40.55
2016,OR,StPaul,30C,9,8.67,59.36,60,29.64
2016,OR,StPaul,28C,8,9.75,50.9,50,33.97
2016,OR,StPaul,28C_4C,8,9.75,50.9,50,33.97
2016,OR,StPaul,28C_4C_4h,8,9.75,50.9,50,33.97
2017,OR,StPaul,30C,8,9.75,44.74,45,34.93
2017,OR,StPaul,28C,8,9.75,44.74,45,34.93
2017,OR,StPaul,28C_4C,8,9.75,44.36,45,35.33
2017,OR,StPaul,28C_4C_4h,8,9.75,44.74,45,34.93
2018,OR,StPaul,30C,9,8.67,71.67,100,39.46
2018,OR,StPaul,28C,9,8.67,71.54,100,39.41
2018,OR,StPaul,28C_4C,9,8.67,71.54,100,39.41
2018,OR,StPaul,28C_4C_4h,9,8.67,71.54,100,39.41
2019,OR,StPaul,30C,8,9.75,63.46,80,37.51
2019,OR,StPaul,28C,8,9.75,60.26,70,37.97
2019,OR,StPaul,28C_4C,8,9.75,50.38,50,37.71
2019,OR,StPaul,28C_4C_4h,8,9.75,58.72,70,37.05
